;NumberOfAnonymousClasses_std;WMC_CK_min;NumberOfAssignments_min;NumberOfNumbers_50%;NumberOfMathOperations_max;WMC_CK_50%;MaxNumberOfNestedBlocks_count;NumberOfNumbers_25%;NumberOfLogStatements_count;NumberOfLambdas_count;NumberOfUniqueWords_25%;NumberOfInnerClasses_std;CBO_std;Returns_std;RFC_max;NumberOfMathOperations_std;CBO_mean;MaxNumberOfNestedBlocks_mean;NumberOfUniqueWords_count;NumberOfTryCatch_max;LOCMethod_CK_max;NumberOfParenthesizedExps_mean;NumberOfInnerClasses_min;MaxNumberOfNestedBlocks_75%;NumberOfNumbers_max;Returns_min;NumberOfLogStatements_std;LOCMethod_CK_50%;RFC_std;NumberOfParameters_CK_max;NumberOfInnerClasses_25%;NumberOfAnonymousClasses_25%;NumberOfUniqueWords_std;NumberOfModifiers_max;LOCMethod_CK_75%;NumberOfUniqueWords_mean;NumberOfAssignments_50%;NumberOfLambdas_mean;NumberOfLambdas_75%;NumberOfMathOperations_50%;NumberOfParameters_CK_50%;NumberOfLambdas_50%;MaxNumberOfNestedBlocks_25%;WMC_CK_mean;NumberOfParenthesizedExps_25%;NumberOfNumbers_75%;NumberOfModifiers_50%;NumberOfParameters_CK_mean;NumberOfLambdas_min;NumberOfStringLiterals_max;NumberOfParenthesizedExps_count;NumberOfLoops_count;Returns_50%;RFC_75%;NumberOfInnerClasses_75%;NumberOfNumbers_std;WMC_CK_75%;RFC_min;NumberOfLogStatements_min;RFC_25%;NumberOfStringLiterals_25%;NumberOfAnonymousClasses_50%;NumberOfInnerClasses_mean;NumberOfUniqueWords_max;NumberOfStringLiterals_mean;NumberOfTryCatch_count;NumberOfStringLiterals_std;NumberOfParameters_CK_75%;NumberOfTryCatch_std;NumberOfParenthesizedExps_min;NumberOfModifiers_std;NumberOfUniqueWords_75%;NumberOfComparisons_25%;MaxNumberOfNestedBlocks_std;NumberOfParenthesizedExps_max;NumberOfParameters_CK_25%;MaxNumberOfNestedBlocks_min;NumberOfVariables_mean;RFC_mean;MaxNumberOfNestedBlocks_max;NumberOfAnonymousClasses_max;NumberOfLoops_std;NumberOfStringLiterals_count;NumberOfInnerClasses_max;WMC_CK_count;NumberOfComparisons_count;NumberOfLogStatements_mean;NumberOfUniqueWords_50%;NumberOfVariables_std;NumberOfVariables_max;NumberOfModifiers_count;NumberOfNumbers_mean;NumberOfParenthesizedExps_std;NumberOfNumbers_count;NumberOfModifiers_min;NumberOfMathOperations_25%;NumberOfAssignments_max;CBO_25%;NumberOfAssignments_75%;NumberOfComparisons_std;NumberOfMathOperations_min;NumberOfStringLiterals_50%;NumberOfMathOperations_75%;WMC_CK_std;NumberOfVariables_50%;CBO_count;NumberOfAssignments_count;NumberOfComparisons_75%;NumberOfLogStatements_50%;NumberOfInnerClasses_50%;Bugged;NumberOfLoops_75%;Returns_max;NumberOfLogStatements_75%;LOCMethod_CK_count;NumberOfParameters_CK_std;NumberOfTryCatch_50%;MaxNumberOfNestedBlocks_50%;NumberOfAnonymousClasses_count;NumberOfUniqueWords_min;NumberOfLoops_mean;LOCMethod_CK_std;NumberOfAssignments_std;CBO_50%;NumberOfAssignments_25%;NumberOfParameters_CK_min;NumberOfAnonymousClasses_min;NumberOfAssignments_mean;NumberOfTryCatch_mean;IsConstructor_top;NumberOfParenthesizedExps_50%;NumberOfLoops_25%;Returns_count;NumberOfTryCatch_25%;CBO_75%;LOCMethod_CK_min;NumberOfModifiers_75%;WMC_CK_25%;IsConstructor_unique;NumberOfLambdas_std;NumberOfTryCatch_min;NumberOfStringLiterals_75%;NumberOfVariables_25%;RFC_count;RFC_50%;NumberOfLogStatements_max;NumberOfInnerClasses_count;NumberOfParenthesizedExps_75%;WMC_CK_max;NumberOfModifiers_mean;NumberOfModifiers_25%;NumberOfMathOperations_mean;IsConstructor_freq;LOCMethod_CK_mean;NumberOfLambdas_25%;NumberOfParameters_CK_count;NumberOfVariables_count;NumberOfVariables_min;NumberOfLoops_50%;IsConstructor_count;CBO_max;NumberOfAnonymousClasses_mean;Returns_75%;Returns_25%;NumberOfComparisons_50%;Returns_mean;NumberOfComparisons_mean;NumberOfLambdas_max;NumberOfMathOperations_count;NumberOfVariables_75%;NumberOfComparisons_max;NumberOfLoops_max;NumberOfTryCatch_75%;NumberOfLoops_min;NumberOfLogStatements_25%;NumberOfNumbers_min;CBO_min;NumberOfAnonymousClasses_75%;NumberOfComparisons_min;LOCMethod_CK_25%;NumberOfStringLiterals_min
count;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;538;;;;;;;;;;;;;;;;;;;611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.011082033422171029;1.174959871589085;0.4590690208667737;0.1926163723916533;1.3081861958266452;1.5096308186195826;9.983948635634029;0.1007223113964687;9.983948635634029;9.983948635634029;8.471508828250402;0.0;1.011150614440461;0.36553421614358844;9.184590690208667;0.4930886313438002;1.7560492679785287;0.4662514215785202;9.983948635634029;0.44301765650080255;19.858747993579453;0.037795124651713884;0.0;0.569422150882825;1.2712680577849118;0.11717495987158909;0.21350507270813884;6.666934189406099;2.722543232251827;1.8796147672552166;0.0;0.0;5.531600621427788;9.028892455858747;9.312199036918138;11.637972446836653;1.195024077046549;0.0;0.0;0.3402889245585875;0.7744783306581059;0.0;0.23675762439807382;1.8192784995055662;0.011637239165329053;0.37118780096308185;1.4991974317817014;0.8636403142030695;0.0;5.089887640449438;9.983948635634029;9.983948635634029;0.42776886035313;4.417736757624398;0.0;0.4261555345722229;1.971107544141252;1.4799357945425362;0.03531300160513644;2.105939004815409;0.8928571428571429;0.0008025682182985554;0.0;22.024077046548957;1.7539921453250498;9.983948635634029;1.6442942517999042;1.1231942215088282;0.14883177258151964;0.009630818619582664;2.3529328347629477;13.507624398073837;0.09109149277688604;0.396331912834771;0.21187800963081863;0.5252808988764045;0.15248796147672553;1.1391990742023765;3.661119208069447;1.2391653290529696;0.03210272873194221;0.168108018611364;9.983948635634029;0.0;9.983948635634029;9.983948635634029;0.1603519349885207;10.563402889245586;1.0332443197861718;3.2520064205457464;9.983948635634029;0.31062095629357045;0.06566175068003963;9.983948635634029;1.1685393258426966;0.20826645264847513;4.706260032102729;1.17776886035313;1.8639646869983948;0.3665238674689115;0.08828250401284109;1.377207062600321;0.5345104333868379;0.9615587436986387;0.8723916532905297;9.983948635634029;9.983948635634029;0.30858747993579455;0.08426966292134831;0.0;;0.12520064205457465;1.1075441412520064;0.18459069020866772;9.983948635634029;0.5767842930207586;0.08747993579454254;0.36035313001605135;9.983948635634029;6.393258426966292;0.11616908924859663;5.345586075997606;1.4212014682520793;1.543338683788122;0.7227126805778491;0.3162118780096308;0.0;1.5161921145957444;0.13097830902263863;;0.015248796147672551;0.03330658105939005;9.983948635634029;0.054975922953451044;2.1207865168539324;4.118780096308186;1.7532102728731942;1.3130016051364366;0.971107544141252;0.0;0.03691813804173355;2.1613162118780096;0.5718298555377207;9.983948635634029;2.873996789727127;0.6211878009630819;9.983948635634029;0.033707865168539325;4.06099518459069;2.170694230572436;1.339486356340289;0.4337309537229558;9.91653290529695;8.143568377484819;0.0;9.983948635634029;9.983948635634029;0.3707865168539326;0.05457463884430177;9.983948635634029;3.547351524879615;0.005364052242169945;0.5959069020866774;0.228330658105939;0.14365971107544143;0.454885102308639;0.2757668183609576;0.0;9.983948635634029;1.4048956661316212;1.158908507223114;0.5168539325842697;0.1581059390048154;0.027287319422150885;0.054975922953451044;0.04975922953451043;0.8362760834670947;0.006821829855537721;0.06581059390048154;5.259630818619582;0.48796147672552165
std;0.07696332625808398;1.1907530744193826;1.4582652006922487;0.9767276188064056;3.7478457371476006;1.5935169173048613;17.44941423234659;0.6970795474218686;17.44941423234659;17.44941423234659;7.291673309264322;0.0;1.2431550738105992;0.4973378933015241;11.61699692161837;2.138664298066377;1.7365566984656147;0.7096374501455127;17.44941423234659;0.7895286627691543;28.03436022836766;0.2063050442371615;0.0;0.9059999999772131;4.5585077694326746;0.45442842076290113;0.6207968219277475;7.8501478516706715;3.8748804141765274;2.2092945679589873;0.0;0.0;5.946137504535331;82.0719380933874;10.679376350708097;8.58166563200274;1.9871187169465492;0.0;0.0;2.2544556625480183;0.8939455207019391;0.0;0.5929695968321966;1.7662709696777585;0.17235894095582555;1.49347472494956;2.4494075662470403;0.8473701372696063;0.0;9.929248610123102;17.44941423234659;17.44941423234659;0.615644903701152;5.785691896531376;0.0;1.393207907240815;2.200730635688837;3.2999803169616113;0.23796806631628853;3.608645171942096;2.4140484182660176;0.020032077005375095;0.0;18.112218915036575;3.3568247313296196;17.44941423234659;3.440016973021522;1.1359425619361228;0.2591440374391444;0.16984111682712286;23.694890683162523;10.84988007135915;0.5362922875267085;0.53809312569624;0.6661692845223713;0.7071514864776052;0.5266432614729263;1.803523387439092;4.5282540742684105;1.5741911443010956;0.2097232344996736;0.4221781431257539;17.44941423234659;0.0;17.44941423234659;17.44941423234659;0.44360820184309957;8.862222071331734;1.6903599206550426;5.301130588623864;17.44941423234659;1.0900211271362639;0.2218918786219553;17.44941423234659;2.022900789897049;1.2842040134579271;8.014180116237096;1.5338488455169614;2.577624004777463;0.7774421880131361;0.6829862345541851;3.3810414167173044;2.8117898962601924;1.7732159657428226;1.7848978536512405;17.44941423234659;17.44941423234659;0.8627580065030508;0.3548602430771404;0.0;;0.3602748814789445;1.5805258509408022;0.6189297767360622;17.44941423234659;0.7215527885913562;0.29185718520912796;0.7337201187914143;17.44941423234659;6.33225952944292;0.2988226910375404;8.513902639347044;2.130233054363219;1.7256947226505959;1.6011130149893247;0.6399184283226399;0.0;2.0335811232105043;0.27490822194202574;;0.18200887065674728;0.20541851422293692;17.44941423234659;0.23612484653095567;2.125710894747784;5.2633554322835305;2.782363952309211;1.3159237992129482;0.4039195738977267;0.0;0.2127408142777263;4.464159293808004;1.4385723954395617;17.44941423234659;4.354444591189429;1.7360376962153001;17.44941423234659;0.24279698833087135;5.399428662014395;8.839725619033084;2.188310671332324;1.9335969692142794;17.45373580143135;8.30736928546154;0.0;17.44941423234659;17.44941423234659;1.322175637260975;0.25246203203539996;17.44941423234659;3.6539088724621083;0.04369028196918312;0.7382052871533931;0.5196422586593727;0.6216776077714381;0.6042590411611394;0.7179703752984116;0.0;17.44941423234659;2.3185962074801463;2.385401763225949;1.3782725065908485;0.3722197364020933;0.19861301855919522;0.27831479158243827;0.5519003473303203;1.4717599765174099;0.08176614783057466;0.5044843371035078;6.104027479558314;1.8538478759236492
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;2.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.32575757575757575;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.25;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;4.5;0.0;0.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;2.0;0.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;1.0;1.0;1.0;0.0;2.0;3.0;0.0;2.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0
50%;0.0;1.0;0.0;0.0;0.0;1.0;5.0;0.0;5.0;5.0;6.0;0.0;0.5345224838248488;0.0;5.0;0.0;1.3333333333333333;0.125;5.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0608660412663933;1.0;0.0;0.0;4.0218700372452645;1.0;5.5;10.125;0.5;0.0;0.0;0.0;1.0;0.0;0.0;1.1428571428571428;0.0;0.0;1.0;0.8;0.0;2.0;5.0;5.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.5;0.0;0.0;0.0;19.0;0.4;5.0;0.2886751345948129;1.0;0.0;0.0;0.0;10.75;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;2.25;1.0;0.0;0.0;5.0;0.0;5.0;5.0;0.0;8.0;0.2740475156178697;1.0;5.0;0.0;0.0;5.0;1.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;;0.0;1.0;0.0;5.0;0.4972451580988469;0.0;0.0;5.0;4.0;0.0;2.1213203435596424;0.6516251872168423;1.0;0.0;0.0;0.0;0.8571428571428571;0.0;;0.0;0.0;5.0;0.0;1.5;3.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0;5.0;0.0;2.0;1.0;1.0;0.0;5.0;6.215686274509804;0.0;5.0;5.0;0.0;0.0;5.0;3.0;0.0;0.5;0.0;0.0;0.3333333333333333;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0
75%;0.0;1.0;0.0;0.0;1.0;1.5;11.0;0.0;11.0;11.0;11.0;0.0;1.6427064971570964;0.5773502691896258;14.0;0.5;2.75;0.735;11.0;1.0;27.0;0.0;0.0;1.0;1.0;0.0;0.0;9.0;4.5;3.0;0.0;0.0;9.15689577810911;4.0;14.0;16.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.1396103896103895;0.0;0.0;1.0;1.107168458781362;0.0;6.0;11.0;11.0;1.0;7.0;0.0;0.3527095829338861;2.0;1.0;0.0;3.0;0.5;0.0;0.0;33.0;2.0;11.0;2.014952008548975;1.25;0.3046524251016549;0.0;0.5307843802597894;19.25;0.0;0.7071067811865476;0.0;1.0;0.0;1.656862745098039;5.414285714285715;2.0;0.0;0.06154574548966636;11.0;0.0;11.0;11.0;0.0;14.5;1.6096717633154314;5.0;11.0;0.14285714285714285;0.0;11.0;1.0;0.0;6.0;2.0;3.0;0.4854979640069572;0.0;1.0;0.0;1.3779271744364845;1.0;11.0;11.0;0.0;0.0;0.0;;0.0;1.0;0.0;11.0;0.729582865097942;0.0;0.5;11.0;8.0;0.062020460358056265;8.231882420031406;2.1640976191685835;2.0;1.0;1.0;0.0;2.2222222222222223;0.14285714285714285;;0.0;0.0;11.0;0.0;3.0;4.0;2.0;1.0;1.0;0.0;0.0;2.5;0.5;11.0;4.0;0.0;11.0;0.0;5.5;1.6;1.0;0.24038461538461542;11.0;11.666666666666664;0.0;11.0;11.0;0.0;0.0;11.0;6.0;0.0;1.0;0.25;0.0;0.8198051948051948;0.25462962962962965;0.0;11.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0
