Bugged;NumberOfCoupledClasses;NumberOfInheritedMethods;NumberPublicMethods;NumberOfAncestors;NumberUserDefinedAttributes;NumberOfPrivateAttributes;NumberOfSubclasses;NumberOfMethods_Mood;NumberOfPolymorphicMethods;NumberOfAttributes;NumberOfProtectedAttributes;Cohesion;NumberOfPublicAttributes
False;1.0;0.0;3.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;0.0;0.375;0.0
False;0.0;0.0;3.0;0.0;0.0;1.0;0.0;3.0;3.0;1.0;0.0;0.4444444444444444;0.0
False;0.0;0.0;13.0;0.0;0.0;6.0;0.0;13.0;13.0;6.0;0.0;0.2923076923076923;0.0
False;0.0;0.0;18.0;0.0;0.0;5.0;0.0;25.0;16.0;5.0;0.0;0.12;0.0
False;0.0;0.0;18.0;0.0;0.0;5.0;0.0;25.0;16.0;5.0;0.0;0.12;0.0
False;0.0;0.0;18.0;0.0;0.0;5.0;0.0;25.0;16.0;5.0;0.0;0.12;0.0
False;0.0;0.0;18.0;0.0;0.0;5.0;0.0;25.0;16.0;5.0;0.0;0.12;0.0
False;0.0;0.0;18.0;0.0;0.0;5.0;0.0;25.0;16.0;5.0;0.0;0.12;0.0
False;0.0;0.0;18.0;0.0;0.0;5.0;0.0;25.0;16.0;5.0;0.0;0.12;0.0
False;0.0;0.0;18.0;0.0;0.0;5.0;0.0;25.0;16.0;5.0;0.0;0.12;0.0
False;0.0;0.0;18.0;0.0;0.0;5.0;0.0;25.0;16.0;5.0;0.0;0.12;0.0
False;0.0;0.0;18.0;0.0;0.0;5.0;0.0;25.0;16.0;5.0;0.0;0.12;0.0
False;0.0;0.0;18.0;0.0;0.0;5.0;0.0;25.0;16.0;5.0;0.0;0.12;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;40.0;0.0;0.0;0.0;0.0;40.0;40.0;0.0;0.0;0.25;0.0
False;0.0;0.0;7.0;0.0;0.0;2.0;0.0;7.0;7.0;11.0;2.0;0.0;7.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;1.0;0.0;22.0;0.0;0.0;2.0;0.0;24.0;7.0;11.0;2.0;0.06944444444444445;7.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;2.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.5;2.0
False;0.0;0.0;8.0;0.0;0.0;9.0;0.0;8.0;8.0;9.0;0.0;0.0;0.0
False;0.0;0.0;2.0;0.0;0.0;4.0;0.0;3.0;1.0;4.0;0.0;0.3888888888888889;0.0
False;1.0;0.0;8.0;0.0;0.0;11.0;0.0;10.0;8.0;11.0;0.0;0.1;0.0
False;0.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0
False;1.0;0.0;17.0;0.0;0.0;7.0;0.0;18.0;17.0;7.0;0.0;0.05555555555555555;0.0
False;1.0;0.0;13.0;0.0;0.0;1.0;0.0;13.0;12.0;3.0;0.0;0.10576923076923077;2.0
False;1.0;0.0;13.0;0.0;0.0;1.0;0.0;13.0;12.0;3.0;0.0;0.10576923076923077;2.0
False;0.0;0.0;17.0;0.0;0.0;0.0;0.0;18.0;17.0;0.0;0.0;0.05555555555555555;0.0
True;0.0;0.0;5.0;0.0;0.0;2.0;0.0;6.0;5.0;2.0;0.0;0.2083333333333333;0.0
True;0.0;0.0;5.0;0.0;0.0;2.0;0.0;6.0;5.0;2.0;0.0;0.2083333333333333;0.0
True;0.0;0.0;5.0;0.0;0.0;2.0;0.0;6.0;5.0;2.0;0.0;0.2083333333333333;0.0
False;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;1.0;2.0;1.0;0.625;0.0
True;0.0;0.0;5.0;0.0;0.0;7.0;0.0;9.0;5.0;8.0;1.0;0.2888888888888889;0.0
True;0.0;0.0;5.0;0.0;0.0;7.0;0.0;9.0;5.0;8.0;1.0;0.2888888888888889;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;4.0;0.0;0.0;2.0;0.0;4.0;4.0;2.0;0.0;0.25;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
True;0.0;0.0;22.0;0.0;0.0;7.0;0.0;22.0;22.0;7.0;0.0;0.125;0.0
True;1.0;0.0;9.0;0.0;0.0;2.0;0.0;9.0;8.0;2.0;0.0;0.1111111111111111;0.0
False;0.0;0.0;7.0;0.0;0.0;6.0;0.0;7.0;7.0;6.0;0.0;0.14285714285714285;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;2.0;0.0;0.0;1.0;0.0;2.0;2.0;1.0;0.0;0.5;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;9.0;0.0;0.0;2.0;0.0;13.0;7.0;2.0;0.0;0.2564102564102564;0.0
False;0.0;0.0;4.0;0.0;0.0;2.0;0.0;4.0;4.0;2.0;0.0;0.375;0.0
False;0.0;0.0;4.0;0.0;0.0;8.0;0.0;5.0;4.0;8.0;0.0;0.2;0.0
False;0.0;0.0;8.0;0.0;0.0;13.0;0.0;9.0;8.0;13.0;0.0;0.1111111111111111;0.0
False;0.0;0.0;19.0;0.0;0.0;20.0;0.0;19.0;19.0;20.0;0.0;0.0;0.0
True;0.0;0.0;8.0;0.0;0.0;1.0;0.0;8.0;8.0;1.0;0.0;0.0;0.0
False;0.0;0.0;7.0;0.0;0.0;7.0;0.0;8.0;7.0;7.0;0.0;0.125;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;4.0;0.0;0.0;1.0;0.0;4.0;4.0;1.0;0.0;0.25;0.0
False;0.0;0.0;5.0;0.0;0.0;2.0;0.0;6.0;5.0;3.0;1.0;0.2;0.0
True;1.0;0.0;10.0;0.0;0.0;6.0;0.0;14.0;10.0;7.0;1.0;0.1011904761904762;0.0
False;0.0;0.0;5.0;0.0;0.0;2.0;0.0;5.0;5.0;2.0;0.0;0.3333333333333333;0.0
True;0.0;0.0;3.0;0.0;0.0;3.0;0.0;6.0;4.0;4.0;1.0;0.2;0.0
False;0.0;0.0;5.0;0.0;0.0;4.0;0.0;6.0;5.0;4.0;0.0;0.16666666666666666;0.0
True;0.0;0.0;7.0;0.0;0.0;6.0;0.0;10.0;6.0;6.0;0.0;0.13333333333333333;0.0
True;0.0;0.0;7.0;0.0;0.0;6.0;0.0;10.0;6.0;6.0;0.0;0.13333333333333333;0.0
False;0.0;0.0;3.0;0.0;0.0;5.0;0.0;3.0;3.0;5.0;0.0;0.0;0.0
False;0.0;0.0;6.0;0.0;0.0;6.0;0.0;7.0;6.0;6.0;0.0;0.14285714285714285;0.0
False;0.0;0.0;6.0;0.0;0.0;3.0;0.0;9.0;6.0;3.0;0.0;0.1851851851851852;0.0
True;1.0;0.0;10.0;0.0;0.0;18.0;0.0;11.0;8.0;18.0;0.0;0.10606060606060606;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;21.0;0.0;0.0;11.0;0.0;22.0;21.0;12.0;0.0;0.06818181818181818;1.0
True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0
False;0.0;0.0;19.0;0.0;0.0;1.0;0.0;19.0;19.0;1.0;0.0;0.07017543859649122;0.0
False;0.0;0.0;8.0;0.0;0.0;0.0;0.0;17.0;4.0;6.0;0.0;0.2058823529411765;6.0
False;0.0;0.0;8.0;0.0;0.0;0.0;0.0;17.0;4.0;6.0;0.0;0.2058823529411765;6.0
False;0.0;0.0;8.0;0.0;0.0;3.0;0.0;8.0;8.0;3.0;0.0;0.25;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
