VG;Fout;MCLC;NBD;Di;NCOMP;IOVars;Fin;NOP;NVAR;BuggedMethods;Si;Ci
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;False;0.0;1.0
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;False;0.0;1.0
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;False;0.0;1.0
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;False;0.0;1.0
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;False;0.0;1.0
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;False;0.0;1.0
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;False;0.0;1.0
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;False;0.0;1.0
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;False;0.0;1.0
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;False;0.0;1.0
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;False;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0
