NumberOfVariables;CBO;NumberOfUniqueWords;IsConstructor;BuggedMethods;Returns;NumberOfNumbers;NumberOfModifiers;NumberOfLoops;WMC_CK;NumberOfParameters_CK;NumberOfAnonymousClasses;LOCMethod_CK;NumberOfLambdas;NumberOfMathOperations;NumberOfLogStatements;NumberOfStringLiterals;NumberOfParenthesizedExps;NumberOfTryCatch;MaxNumberOfNestedBlocks;RFC;NumberOfAssignments;NumberOfInnerClasses;NumberOfComparisons
0.0;0.0;2.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;2.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;2.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;2.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;2.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
